image_name,vit_small_patch16_224,vit_base_patch16_224,vit_large_patch16_224
1.JPEG,117.34719848632812,285.8269958496094,306.96148681640625
2.JPEG,113.75138092041016,281.6455993652344,326.0293273925781
3.JPEG,146.8874969482422,256.0727844238281,326.57281494140625
4.JPEG,129.4881134033203,285.25860595703125,319.4151916503906
5.JPEG,119.08547973632812,255.7397003173828,338.4936218261719
6.JPEG,125.07435607910156,270.2540588378906,316.7210388183594
7.JPEG,139.30130004882812,247.68605041503906,330.3179016113281
8.JPEG,121.56780242919922,260.331787109375,341.0980224609375
9.JPEG,136.0750732421875,264.2054748535156,343.8620300292969
10.JPEG,124.12071990966797,268.48406982421875,333.9030456542969
11.JPEG,136.38169860839844,262.05743408203125,330.4238586425781
12.JPEG,120.09452819824219,245.01705932617188,339.8509521484375
13.JPEG,124.9708480834961,251.0255126953125,333.25390625
14.JPEG,127.37818908691406,243.0151824951172,356.23382568359375
15.JPEG,127.232177734375,262.28533935546875,333.2566223144531
16.JPEG,127.293212890625,251.9435272216797,341.7158203125
17.JPEG,140.5912628173828,282.0926818847656,333.9144287109375
18.JPEG,124.48674011230469,273.5786437988281,332.2611389160156
19.JPEG,123.54119873046875,261.4486999511719,362.63922119140625
20.JPEG,108.1847915649414,253.12791442871094,377.14697265625
21.JPEG,129.75006103515625,272.9897766113281,338.83428955078125
22.JPEG,120.16014099121094,265.635986328125,350.7406921386719
23.JPEG,140.49691772460938,256.3970642089844,321.93804931640625
24.JPEG,108.81245422363281,242.86099243164062,352.9557800292969
25.JPEG,130.2714080810547,251.39939880371094,316.5537109375
26.JPEG,120.64505004882812,268.3511657714844,363.2917175292969
27.JPEG,126.71139526367188,255.7809600830078,314.562255859375
28.JPEG,137.14227294921875,262.8183288574219,328.0599060058594
29.JPEG,129.7831268310547,263.4880065917969,343.8117980957031
30.JPEG,134.74176025390625,250.25906372070312,365.4994812011719
31.JPEG,126.53573608398438,275.04254150390625,336.2356872558594
32.JPEG,111.3486328125,272.9233093261719,335.7837219238281
33.JPEG,128.3308868408203,241.39938354492188,346.5752258300781
34.JPEG,121.0263671875,256.9194641113281,346.9510498046875
35.JPEG,130.76429748535156,258.28802490234375,331.4308776855469
36.JPEG,125.52667999267578,270.5418395996094,344.6766662597656
37.JPEG,136.6084747314453,264.3965148925781,311.3935852050781
38.JPEG,147.54446411132812,266.5461730957031,335.40460205078125
39.JPEG,133.58450317382812,276.6838684082031,335.6814880371094
40.JPEG,144.67503356933594,241.55381774902344,346.38433837890625
41.JPEG,129.88815307617188,235.13735961914062,316.9242858886719
42.JPEG,125.18482208251953,263.1495666503906,331.06597900390625
43.JPEG,141.68743896484375,260.1595153808594,341.9077453613281
44.JPEG,109.74259185791016,250.79986572265625,331.6962890625
45.JPEG,134.3453826904297,256.0273742675781,354.27008056640625
46.JPEG,131.54074096679688,265.96051025390625,325.6484680175781
47.JPEG,125.44894409179688,257.58734130859375,317.1890563964844
48.JPEG,147.33963012695312,259.2645568847656,326.5487060546875
49.JPEG,120.41342163085938,276.4090270996094,325.4140319824219
50.JPEG,124.09945678710938,253.2430419921875,356.67449951171875
51.JPEG,120.41004943847656,262.4472961425781,345.3013610839844
52.JPEG,128.6041717529297,266.135009765625,335.6430358886719
53.JPEG,125.04944610595703,267.5401611328125,310.318603515625
54.JPEG,127.18965148925781,238.7987518310547,318.1266784667969
55.JPEG,125.81063842773438,246.87969970703125,334.6056213378906
56.JPEG,136.81997680664062,268.25030517578125,340.03765869140625
57.JPEG,142.12477111816406,249.6625213623047,336.6932678222656
58.JPEG,133.91920471191406,257.3336486816406,343.4627685546875
59.JPEG,123.64289855957031,260.85797119140625,342.74066162109375
60.JPEG,145.76991271972656,251.0211639404297,334.443359375
61.JPEG,135.91477966308594,243.9048309326172,363.0277404785156
62.JPEG,105.11309051513672,267.86529541015625,365.6488037109375
63.JPEG,120.85452270507812,268.95123291015625,327.87982177734375
64.JPEG,122.2840576171875,273.7445068359375,335.06866455078125
65.JPEG,134.94232177734375,243.34326171875,339.92633056640625
66.JPEG,122.11238861083984,256.869384765625,332.61004638671875
67.JPEG,139.5157470703125,279.89990234375,360.56036376953125
68.JPEG,127.74758911132812,270.8283386230469,323.0497741699219
69.JPEG,132.30331420898438,272.8405456542969,339.6728820800781
70.JPEG,129.0363006591797,306.32147216796875,290.55242919921875
71.JPEG,114.38038635253906,261.0320129394531,340.0795593261719
72.JPEG,130.22195434570312,276.0118408203125,338.27587890625
73.JPEG,118.48014068603516,257.9436950683594,358.98687744140625
74.JPEG,116.00016021728516,246.20103454589844,346.1457214355469
75.JPEG,138.7914276123047,248.26817321777344,379.9761047363281
