image_name,densenet121,densenet169,densenet201
1.JPEG,321.95550537109375,581.8994140625,610.1860961914062
2.JPEG,352.7735595703125,523.2487182617188,647.4973754882812
3.JPEG,353.0657653808594,571.824462890625,624.5288696289062
4.JPEG,350.96923828125,565.6719970703125,661.4615478515625
5.JPEG,360.2250061035156,581.1876831054688,661.064208984375
6.JPEG,329.1775207519531,590.3631591796875,632.111572265625
7.JPEG,361.2766418457031,554.9078979492188,710.4230346679688
8.JPEG,325.79095458984375,580.8558959960938,649.764892578125
9.JPEG,337.255126953125,550.015380859375,633.9067993164062
10.JPEG,329.207763671875,533.9876708984375,658.366943359375
11.JPEG,358.9932556152344,562.2197265625,610.287841796875
12.JPEG,339.9830322265625,596.39404296875,666.4459228515625
13.JPEG,349.4962158203125,552.8757934570312,670.5775146484375
14.JPEG,333.7643737792969,556.4256591796875,615.8291625976562
15.JPEG,352.6460266113281,552.0909423828125,656.2412719726562
16.JPEG,356.7138977050781,574.1831665039062,656.8284301757812
17.JPEG,369.2893371582031,516.309326171875,621.8272705078125
18.JPEG,347.39447021484375,552.3833618164062,617.2779541015625
19.JPEG,349.449462890625,538.769775390625,637.7508544921875
20.JPEG,325.782958984375,517.8132934570312,660.3255615234375
21.JPEG,367.0863037109375,555.560546875,684.63232421875
22.JPEG,317.1301574707031,553.21435546875,674.9464721679688
23.JPEG,365.3884582519531,548.199462890625,666.8325805664062
24.JPEG,333.25537109375,562.4273681640625,640.8881225585938
25.JPEG,334.0886535644531,572.4981689453125,656.5960083007812
26.JPEG,345.5557861328125,555.236572265625,652.119873046875
27.JPEG,351.9424743652344,617.019775390625,634.9813842773438
28.JPEG,316.5410461425781,503.76934814453125,625.8175659179688
29.JPEG,337.9879150390625,553.3292236328125,661.4221801757812
30.JPEG,330.74053955078125,547.7318115234375,639.1782836914062
31.JPEG,333.78582763671875,527.7777709960938,707.85791015625
32.JPEG,296.0797424316406,544.5038452148438,650.7686157226562
33.JPEG,333.0421142578125,548.6099243164062,631.7957153320312
34.JPEG,333.3651123046875,550.2105102539062,637.581298828125
35.JPEG,339.141357421875,515.6002807617188,676.802001953125
36.JPEG,336.7532958984375,540.9019775390625,661.7039184570312
37.JPEG,353.9871520996094,554.7019653320312,637.021484375
38.JPEG,346.425048828125,535.2623901367188,657.300048828125
39.JPEG,343.4820861816406,566.1697998046875,668.7108154296875
40.JPEG,342.44482421875,553.7144165039062,677.4976806640625
41.JPEG,368.1038818359375,573.0271606445312,667.7202758789062
42.JPEG,351.7030334472656,569.7271728515625,668.282470703125
43.JPEG,326.16546630859375,588.7447509765625,654.9647216796875
44.JPEG,359.83953857421875,597.3370971679688,639.9867553710938
45.JPEG,334.69976806640625,557.682861328125,631.6884155273438
46.JPEG,382.0387878417969,566.2557373046875,653.0419311523438
47.JPEG,335.7550048828125,563.4684448242188,660.4462890625
48.JPEG,362.1134033203125,556.7001342773438,680.1747436523438
49.JPEG,332.3687438964844,545.647216796875,634.1395874023438
50.JPEG,354.90362548828125,582.7186279296875,643.5569458007812
51.JPEG,370.3199157714844,557.0861206054688,629.2424926757812
52.JPEG,314.5042419433594,537.5435791015625,647.4515991210938
53.JPEG,351.25494384765625,575.6329956054688,672.3998413085938
54.JPEG,364.4634704589844,576.8285522460938,660.8339233398438
55.JPEG,363.7284851074219,526.6320190429688,694.4801025390625
56.JPEG,321.4148254394531,553.452392578125,637.3977661132812
57.JPEG,395.869384765625,557.096435546875,627.5626831054688
58.JPEG,354.3563232421875,566.7621459960938,639.3395385742188
59.JPEG,317.5594787597656,561.8378295898438,621.4378662109375
60.JPEG,329.02349853515625,572.4411010742188,646.830810546875
61.JPEG,340.3167724609375,530.5172729492188,625.1414794921875
62.JPEG,348.7215881347656,586.5516357421875,680.5040893554688
63.JPEG,332.70733642578125,545.2700805664062,681.6566162109375
64.JPEG,333.5373840332031,584.1805419921875,695.3804931640625
65.JPEG,366.58551025390625,568.4022216796875,642.4273681640625
66.JPEG,338.24481201171875,530.35986328125,629.7823486328125
67.JPEG,357.442138671875,565.3316650390625,660.8284301757812
68.JPEG,306.36114501953125,535.166259765625,625.4134521484375
69.JPEG,367.2216796875,522.4207153320312,649.7821044921875
70.JPEG,340.9041442871094,539.324951171875,677.2984008789062
71.JPEG,353.1115417480469,556.9114379882812,670.338623046875
72.JPEG,343.787841796875,530.050048828125,665.6854248046875
73.JPEG,329.6864013671875,543.7398071289062,632.002685546875
74.JPEG,321.6503601074219,599.1752319335938,646.9717407226562
75.JPEG,341.3887023925781,558.465576171875,632.9281005859375
76.JPEG,328.8402404785156,583.2156372070312,661.7557373046875
77.JPEG,345.89630126953125,569.9744873046875,662.7622680664062
78.JPEG,338.2928466796875,567.1068115234375,636.5848388671875
79.JPEG,328.72772216796875,542.2164916992188,683.7371826171875
80.JPEG,348.88519287109375,542.12841796875,650.056396484375
81.JPEG,361.7413024902344,569.884033203125,681.416015625
82.JPEG,337.936767578125,564.0309448242188,658.6432495117188
83.JPEG,364.99884033203125,579.5012817382812,659.36767578125
84.JPEG,321.3238525390625,595.988037109375,681.68994140625
85.JPEG,366.2791748046875,552.7122192382812,621.9837036132812
86.JPEG,344.9190673828125,538.5724487304688,628.2650146484375
87.JPEG,337.2159729003906,585.5902709960938,662.168701171875
88.JPEG,344.3062438964844,575.1516723632812,625.589599609375
89.JPEG,341.0120544433594,550.0682373046875,627.9384765625
90.JPEG,333.3895568847656,586.1937255859375,652.4068603515625
91.JPEG,347.26806640625,580.9312744140625,677.68408203125
92.JPEG,314.8028564453125,550.5247192382812,630.9239501953125
