image_name,vit_small_patch16_224,vit_base_patch16_224,vit_large_patch16_224
1.JPEG,28.281723022460938,15.797686576843262,50.91194534301758
2.JPEG,25.70065689086914,16.489274978637695,48.820430755615234
3.JPEG,29.15435218811035,13.938455581665039,52.94282150268555
4.JPEG,28.856950759887695,15.709260940551758,35.43756103515625
5.JPEG,28.48079490661621,15.419710159301758,44.38768005371094
6.JPEG,27.146604537963867,19.17156219482422,37.85244369506836
7.JPEG,30.044702529907227,16.0987491607666,52.98383712768555
8.JPEG,28.62781524658203,14.438777923583984,48.96133041381836
9.JPEG,28.693363189697266,16.948711395263672,46.764678955078125
10.JPEG,27.83984375,15.037875175476074,32.33372116088867
11.JPEG,29.319509506225586,15.027303695678711,28.670103073120117
12.JPEG,29.293338775634766,14.161783218383789,43.80043411254883
13.JPEG,28.667583465576172,16.592147827148438,38.948089599609375
14.JPEG,27.654211044311523,14.471271514892578,55.21589660644531
15.JPEG,27.700897216796875,15.654833793640137,49.08573913574219
16.JPEG,27.747879028320312,20.10120964050293,47.83598709106445
17.JPEG,27.447906494140625,15.66051959991455,47.800045013427734
18.JPEG,29.925901412963867,16.469799041748047,48.29972457885742
19.JPEG,27.831382751464844,15.91996955871582,51.81810760498047
20.JPEG,29.535186767578125,18.213224411010742,37.05170822143555
21.JPEG,26.869665145874023,17.22052574157715,53.53772735595703
22.JPEG,29.5320987701416,14.480724334716797,52.00606918334961
23.JPEG,27.212417602539062,16.2940616607666,51.31673049926758
24.JPEG,27.015682220458984,15.976401329040527,53.834075927734375
25.JPEG,28.7645263671875,17.141254425048828,53.846107482910156
26.JPEG,30.242036819458008,14.30224895477295,46.87173843383789
27.JPEG,29.030689239501953,17.188438415527344,51.7204475402832
28.JPEG,28.268178939819336,16.585224151611328,45.24285888671875
29.JPEG,28.058164596557617,15.208885192871094,50.54444122314453
30.JPEG,28.32145118713379,19.37476921081543,37.85721969604492
31.JPEG,28.899442672729492,16.145071029663086,48.92512130737305
32.JPEG,27.249622344970703,16.854188919067383,32.84947967529297
33.JPEG,28.211740493774414,15.010872840881348,54.954898834228516
34.JPEG,29.189634323120117,15.55786418914795,52.605262756347656
35.JPEG,28.23828125,15.188525199890137,32.75749588012695
36.JPEG,27.96698760986328,14.62207317352295,48.60005569458008
37.JPEG,29.043155670166016,18.013805389404297,48.76591873168945
38.JPEG,27.76146125793457,14.438998222351074,46.351566314697266
39.JPEG,28.128620147705078,17.05521583557129,48.14589309692383
40.JPEG,29.16626739501953,21.874855041503906,49.406131744384766
41.JPEG,29.254959106445312,14.572224617004395,49.6320686340332
42.JPEG,28.417268753051758,17.87629508972168,42.409767150878906
43.JPEG,28.08786392211914,15.39185905456543,25.462390899658203
44.JPEG,28.29987144470215,16.391569137573242,52.8970832824707
45.JPEG,29.67146110534668,14.25275993347168,55.41460037231445
46.JPEG,29.37593650817871,14.703633308410645,45.53646469116211
47.JPEG,28.37464141845703,16.084178924560547,51.97226333618164
48.JPEG,32.00614547729492,19.813392639160156,50.89007568359375
49.JPEG,27.488868713378906,15.49650764465332,44.70100402832031
50.JPEG,28.131864547729492,16.519603729248047,50.815025329589844
51.JPEG,28.2105712890625,13.984046936035156,56.698307037353516
52.JPEG,28.61229133605957,16.38113021850586,29.911632537841797
53.JPEG,28.036523818969727,14.786931037902832,33.83982849121094
54.JPEG,28.733123779296875,15.29185962677002,49.70122528076172
55.JPEG,30.137422561645508,15.971098899841309,49.79975509643555
56.JPEG,27.3487491607666,14.939072608947754,49.007442474365234
57.JPEG,27.36332130432129,23.069969177246094,50.57645797729492
58.JPEG,28.733610153198242,16.66794776916504,46.703121185302734
59.JPEG,28.660804748535156,16.636943817138672,53.126075744628906
60.JPEG,27.21639060974121,16.736614227294922,52.50704574584961
61.JPEG,29.072664260864258,14.857405662536621,51.5879020690918
62.JPEG,28.5025691986084,16.363414764404297,39.753456115722656
63.JPEG,27.87651252746582,15.207121849060059,40.2851448059082
64.JPEG,27.856998443603516,15.606036186218262,27.96324920654297
65.JPEG,29.449207305908203,16.630924224853516,56.840911865234375
66.JPEG,29.056398391723633,15.103388786315918,49.35269546508789
67.JPEG,29.119291305541992,15.461179733276367,56.48155975341797
68.JPEG,27.69747543334961,15.80502700805664,44.97159957885742
69.JPEG,29.051166534423828,18.091876983642578,49.44532012939453
70.JPEG,29.9730224609375,17.788515090942383,49.594879150390625
71.JPEG,28.247520446777344,15.995195388793945,43.23043441772461
72.JPEG,28.846649169921875,15.770010948181152,51.73380661010742
73.JPEG,27.99018669128418,14.849512100219727,30.40302848815918
74.JPEG,24.810279846191406,17.47779083251953,54.802574157714844
75.JPEG,29.034141540527344,22.274686813354492,48.909210205078125
76.JPEG,28.63734245300293,15.927885055541992,49.92798614501953
77.JPEG,32.6840934753418,18.58385467529297,49.673126220703125
78.JPEG,29.33639907836914,15.753697395324707,52.88642120361328
79.JPEG,28.562820434570312,16.943567276000977,49.275123596191406
80.JPEG,28.82042121887207,15.064251899719238,46.78923797607422
81.JPEG,28.325483322143555,17.155969619750977,51.288360595703125
82.JPEG,29.441322326660156,23.450353622436523,51.282840728759766
83.JPEG,28.827842712402344,16.547121047973633,33.98091125488281
84.JPEG,27.3129825592041,14.424691200256348,46.90770721435547
85.JPEG,28.698684692382812,15.714574813842773,51.683223724365234
86.JPEG,29.009021759033203,19.07260513305664,51.98470687866211
87.JPEG,28.726455688476562,18.022436141967773,47.44899368286133
88.JPEG,28.032323837280273,18.568119049072266,45.22391891479492
89.JPEG,29.61307716369629,16.713354110717773,48.556983947753906
90.JPEG,28.86845588684082,15.266666412353516,51.17738723754883
91.JPEG,28.837217330932617,14.808892250061035,42.592708587646484
92.JPEG,28.295833587646484,14.778511047363281,57.21918487548828
93.JPEG,28.76378631591797,17.955902099609375,27.673316955566406
94.JPEG,29.224292755126953,15.212709426879883,47.39104080200195
95.JPEG,27.407682418823242,15.420896530151367,32.92231369018555
96.JPEG,25.44972801208496,15.35659122467041,48.10676956176758
97.JPEG,26.628442764282227,16.09650993347168,32.90725326538086
98.JPEG,29.782934188842773,17.7554931640625,47.52553176879883
99.JPEG,28.017864227294922,15.653332710266113,51.53293228149414
100.JPEG,29.420257568359375,15.375807762145996,52.58855056762695
101.JPEG,28.27056121826172,13.877337455749512,33.29094314575195
102.JPEG,27.11421775817871,15.35366153717041,36.84455490112305
103.JPEG,27.23797035217285,15.327486991882324,54.206809997558594
104.JPEG,28.969863891601562,16.76871681213379,44.56428909301758
105.JPEG,29.62774085998535,15.07130241394043,38.288734436035156
106.JPEG,27.64777183532715,15.512682914733887,45.85454177856445
107.JPEG,26.887115478515625,14.426871299743652,32.1169548034668
108.JPEG,28.169614791870117,15.990157127380371,47.166236877441406
109.JPEG,28.87171173095703,14.919445991516113,51.963966369628906
110.JPEG,29.099929809570312,16.042207717895508,35.48492431640625
111.JPEG,28.860082626342773,15.019993782043457,48.960445404052734
112.JPEG,28.30965805053711,13.868453979492188,33.337860107421875
113.JPEG,28.831926345825195,17.686189651489258,52.265594482421875
114.JPEG,27.25520896911621,14.558833122253418,51.9703254699707
115.JPEG,28.84486198425293,14.791473388671875,54.89171600341797
116.JPEG,29.507427215576172,17.091955184936523,48.14079666137695
117.JPEG,28.601280212402344,16.626941680908203,52.947540283203125
118.JPEG,29.434621810913086,15.811556816101074,50.70595932006836
119.JPEG,28.09296417236328,15.005419731140137,36.16037368774414
120.JPEG,28.974334716796875,17.550003051757812,53.115806579589844
121.JPEG,28.658403396606445,16.13213539123535,53.311885833740234
122.JPEG,27.45115089416504,14.880461692810059,53.82637405395508
123.JPEG,28.27928352355957,15.132290840148926,47.72215270996094
124.JPEG,29.588294982910156,16.558622360229492,49.90047836303711
125.JPEG,27.506864547729492,20.122272491455078,32.178504943847656
126.JPEG,30.32962417602539,17.553951263427734,36.165287017822266
127.JPEG,28.769882202148438,15.27694320678711,51.735877990722656
128.JPEG,28.887523651123047,16.39427947998047,47.843448638916016
129.JPEG,24.838964462280273,16.244417190551758,50.294090270996094
130.JPEG,27.89284896850586,14.76961898803711,40.80377960205078
131.JPEG,29.015899658203125,19.85150718688965,50.88220977783203
132.JPEG,27.723859786987305,16.62808609008789,47.894771575927734
133.JPEG,28.118730545043945,20.026626586914062,50.42106246948242
134.JPEG,29.285404205322266,15.980652809143066,54.45253372192383
135.JPEG,29.63363265991211,15.85200023651123,45.74169158935547
136.JPEG,29.753000259399414,21.526674270629883,45.75413513183594
137.JPEG,26.820255279541016,14.395208358764648,46.86378860473633
138.JPEG,28.61408805847168,15.606110572814941,55.77304458618164
139.JPEG,29.548900604248047,18.353605270385742,44.35512924194336
140.JPEG,29.016260147094727,16.017292022705078,44.871150970458984
141.JPEG,29.223941802978516,14.501508712768555,47.781803131103516
142.JPEG,27.446271896362305,14.8232421875,53.956993103027344
143.JPEG,27.718263626098633,15.778684616088867,29.533273696899414
144.JPEG,27.34727668762207,17.88408660888672,51.85761260986328
145.JPEG,26.924596786499023,14.536885261535645,35.93291091918945
146.JPEG,27.910022735595703,15.948777198791504,50.73518753051758
147.JPEG,28.024410247802734,15.392718315124512,44.98244094848633
148.JPEG,28.01006507873535,15.318695068359375,53.11442184448242
149.JPEG,28.66624641418457,19.094070434570312,47.04536819458008
150.JPEG,29.587133407592773,15.972620010375977,48.97574996948242
151.JPEG,27.401273727416992,14.231812477111816,42.335182189941406
152.JPEG,28.892906188964844,14.561551094055176,54.229793548583984
153.JPEG,27.270732879638672,15.136331558227539,49.14183044433594
154.JPEG,30.19696807861328,22.65570640563965,49.97098159790039
155.JPEG,27.8917236328125,15.952847480773926,53.21733093261719
156.JPEG,28.05811309814453,15.39249038696289,34.56679916381836
157.JPEG,28.803918838500977,15.611540794372559,44.442527770996094
158.JPEG,29.199867248535156,14.55953311920166,52.159637451171875
159.JPEG,27.518756866455078,15.306063652038574,36.23256301879883
160.JPEG,28.15647315979004,16.251142501831055,27.848133087158203
161.JPEG,27.679594039916992,15.094799995422363,37.59694290161133
162.JPEG,28.911354064941406,14.686482429504395,25.24057388305664
163.JPEG,28.840457916259766,15.558335304260254,56.138484954833984
164.JPEG,28.858304977416992,19.173147201538086,51.81022262573242
165.JPEG,28.451143264770508,16.347570419311523,49.88181686401367
166.JPEG,28.77861785888672,17.0432186126709,51.30216598510742
167.JPEG,29.688209533691406,15.090594291687012,52.19194793701172
168.JPEG,28.59469223022461,15.758316993713379,49.77250671386719
169.JPEG,30.744487762451172,15.614763259887695,54.82061004638672
170.JPEG,28.336519241333008,14.99605941772461,49.09711837768555
171.JPEG,28.520719528198242,14.760479927062988,49.06092834472656
172.JPEG,28.816741943359375,14.927292823791504,41.37637710571289
173.JPEG,28.811595916748047,14.464822769165039,25.539640426635742
174.JPEG,28.91676902770996,14.985391616821289,53.39656066894531
175.JPEG,28.694908142089844,15.382204055786133,53.921844482421875
176.JPEG,28.312849044799805,18.453649520874023,43.85158920288086
177.JPEG,27.038049697875977,14.875704765319824,51.73163986206055
178.JPEG,28.321300506591797,15.806748390197754,53.465450286865234
179.JPEG,28.838058471679688,16.049638748168945,54.74171829223633
180.JPEG,28.473976135253906,15.519153594970703,44.17445373535156
181.JPEG,27.68630027770996,15.698904991149902,26.022838592529297
182.JPEG,28.156152725219727,15.842411994934082,37.25551986694336
183.JPEG,29.411487579345703,16.3266658782959,53.638893127441406
184.JPEG,29.416006088256836,15.430530548095703,48.47844696044922
185.JPEG,28.7429256439209,15.197894096374512,47.92880630493164
186.JPEG,27.220842361450195,19.309030532836914,47.67409133911133
187.JPEG,28.3162784576416,15.499670028686523,49.102264404296875
188.JPEG,29.215625762939453,15.338193893432617,31.42295265197754
189.JPEG,27.735572814941406,17.477392196655273,49.17143249511719
190.JPEG,29.55553436279297,18.71764373779297,48.456947326660156
191.JPEG,28.66461753845215,15.038432121276855,51.3743782043457
192.JPEG,27.437131881713867,17.10127830505371,50.97298049926758
193.JPEG,29.328601837158203,17.04010009765625,53.08240509033203
194.JPEG,28.15105438232422,18.514333724975586,31.23215103149414
195.JPEG,27.586139678955078,14.959419250488281,32.994285583496094
196.JPEG,28.614059448242188,16.22521209716797,51.15156555175781
197.JPEG,29.474342346191406,17.038097381591797,48.94230270385742
198.JPEG,31.274375915527344,16.0344181060791,49.62786865234375
199.JPEG,25.226293563842773,14.63411808013916,50.701210021972656
200.JPEG,29.69497299194336,15.102075576782227,55.436607360839844
